FortLauderdaleFL,46658
Monmouth-OceanNJ,35424
Riverside-SanBernardinoCA,174117
ColumbusOH,43206
FresnoCA,77539
DetroitMI,122559
SacramentoCA,178894
NewYorkNY,956071
OrangeCountyCA,434778
Portland-VancouverOR-WA,111064
Vallejo-Fairfield-NapaCA,67477
DenverCO,78976
Raleigh-Durham-ChapelHillNC,39573
Seattle-Bellevue-EverettWA,272961
St.LouisMO-IL,45725
WashingtonDC-MD-VA-WV,379949
MiamiFL,41734
DallasTX,160971
Bergen-PassaicNJ,122218
Nassau-SuffolkNY,112848
BostonMA-NH,186803
TacomaWA,50724
FortWorth-ArlingtonTX,62438
SaltLakeCity-OgdenUT,38550
LosAngeles-LongBeachCA,1284112
SanDiegoCA,303204
PhiladelphiaPA-NJ,196054
Stockton-LodiCA,78691
SanFranciscoCA,435082
NewarkNJ,92362
OaklandCA,461028
LasVegasNV-AZ,96503
ChicagoIL,429533
HonoluluHI,619253
AtlantaGA,155117
BaltimoreMD,80757
Austin-SanMarcosTX,51985
Phoenix-MesaAZ,87518
Middlesex-Somerset-HunterdonNJ,140599
HoustonTX,245418
Tampa-St.Petersburg-ClearwaterFL,55977
VenturaCA,50137
Milwaukee-WaukeshaWI,36874
Cleveland-Lorain-ElyriaOH,37403
OrlandoFL,55101
SanJoseCA,472530
Norfolk-VirginiaBeach-NewportNewsVA-NC,55245
Minneapolis-St.PaulMN-WI,142322
KansasCityMO-KS,35674
JerseyCityNJ,63388
