LosAngeles-LongBeachCA,English Only,1,4.4
LosAngeles-LongBeachCA,English Well,1,76.3
LosAngeles-LongBeachCA,English Not Well,1,19.2
LosAngeles-LongBeachCA,English Only,2,8.9
LosAngeles-LongBeachCA,English Well,2,82.0
LosAngeles-LongBeachCA,English Not Well,2,9.0
LosAngeles-LongBeachCA,English Only,3,72.3
LosAngeles-LongBeachCA,English Well,3,25.6
LosAngeles-LongBeachCA,English Not Well,3,2.1
NewYorkNY,English Only,1,6.0
NewYorkNY,English Well,1,77.6
NewYorkNY,English Not Well,1,16.4
NewYorkNY,English Only,2,14.6
NewYorkNY,English Well,2,79.4
NewYorkNY,English Not Well,2,5.9
NewYorkNY,English Only,3,50.3
NewYorkNY,English Well,3,44.6
NewYorkNY,English Not Well,3,5.1
ChicagoIL,English Only,1,4.7
ChicagoIL,English Well,1,71.3
ChicagoIL,English Not Well,1,24.0
ChicagoIL,English Only,2,11.2
ChicagoIL,English Well,2,79.5
ChicagoIL,English Not Well,2,9.3
ChicagoIL,English Only,3,67.6
ChicagoIL,English Well,3,29.0
ChicagoIL,English Not Well,3,3.4
MiamiFL,English Only,1,4.0
MiamiFL,English Well,1,78.7
MiamiFL,English Not Well,1,17.3
MiamiFL,English Only,2,8.3
MiamiFL,English Well,2,88.3
MiamiFL,English Not Well,2,3.4
MiamiFL,English Only,3,34.3
MiamiFL,English Well,3,63.1
MiamiFL,English Not Well,3,2.5
HoustonTX,English Only,1,4.6
HoustonTX,English Well,1,70.2
HoustonTX,English Not Well,1,25.2
HoustonTX,English Only,2,12.0
HoustonTX,English Well,2,77.5
HoustonTX,English Not Well,2,10.6
HoustonTX,English Only,3,68.1
HoustonTX,English Well,3,28.3
HoustonTX,English Not Well,3,3.7
Riverside-SanBernardinoCA,English Only,1,4.6
Riverside-SanBernardinoCA,English Well,1,78.6
Riverside-SanBernardinoCA,English Not Well,1,16.8
Riverside-SanBernardinoCA,English Only,2,15.8
Riverside-SanBernardinoCA,English Well,2,77.3
Riverside-SanBernardinoCA,English Not Well,2,6.9
Riverside-SanBernardinoCA,English Only,3,82.2
Riverside-SanBernardinoCA,English Well,3,16.4
Riverside-SanBernardinoCA,English Not Well,3,1.4
OrangeCountyCA,English Only,1,4.1
OrangeCountyCA,English Well,1,77.3
OrangeCountyCA,English Not Well,1,18.7
OrangeCountyCA,English Only,2,10.6
OrangeCountyCA,English Well,2,80.0
OrangeCountyCA,English Not Well,2,9.4
OrangeCountyCA,English Only,3,83.2
OrangeCountyCA,English Well,3,15.8
OrangeCountyCA,English Not Well,3,1.0
Phoenix-MesaAZ,English Only,1,4.9
Phoenix-MesaAZ,English Well,1,70.9
Phoenix-MesaAZ,English Not Well,1,24.2
Phoenix-MesaAZ,English Only,2,13.9
Phoenix-MesaAZ,English Well,2,76.5
Phoenix-MesaAZ,English Not Well,2,9.5
Phoenix-MesaAZ,English Only,3,77.2
Phoenix-MesaAZ,English Well,3,20.3
Phoenix-MesaAZ,English Not Well,3,2.4
SanAntonioTX,English Only,1,12.8
SanAntonioTX,English Well,1,71.9
SanAntonioTX,English Not Well,1,15.3
SanAntonioTX,English Only,2,23.7
SanAntonioTX,English Well,2,71.4
SanAntonioTX,English Not Well,2,4.9
SanAntonioTX,English Only,3,67.6
SanAntonioTX,English Well,3,28.0
SanAntonioTX,English Not Well,3,4.4
DallasTX,English Only,1,2.9
DallasTX,English Well,1,70.6
DallasTX,English Not Well,1,26.5
DallasTX,English Only,2,11.0
DallasTX,English Well,2,79.4
DallasTX,English Not Well,2,9.6
DallasTX,English Only,3,64.1
DallasTX,English Well,3,32.0
DallasTX,English Not Well,3,3.9
SanDiegoCA,English Only,1,6.2
SanDiegoCA,English Well,1,77.2
SanDiegoCA,English Not Well,1,16.6
SanDiegoCA,English Only,2,12.7
SanDiegoCA,English Well,2,77.6
SanDiegoCA,English Not Well,2,9.7
SanDiegoCA,English Only,3,73.5
SanDiegoCA,English Well,3,24.6
SanDiegoCA,English Not Well,3,1.9
ElPasoTX,English Only,1,8.6
ElPasoTX,English Well,1,73.7
ElPasoTX,English Not Well,1,17.8
ElPasoTX,English Only,2,6.7
ElPasoTX,English Well,2,81.4
ElPasoTX,English Not Well,2,11.9
ElPasoTX,English Only,3,37.4
ElPasoTX,English Well,3,56.3
ElPasoTX,English Not Well,3,6.4
McAllen-Edinburg-MissionTX,English Only,1,3.3
McAllen-Edinburg-MissionTX,English Well,1,78.3
McAllen-Edinburg-MissionTX,English Not Well,1,18.4
McAllen-Edinburg-MissionTX,English Only,2,3.6
McAllen-Edinburg-MissionTX,English Well,2,86.9
McAllen-Edinburg-MissionTX,English Not Well,2,9.5
McAllen-Edinburg-MissionTX,English Only,3,25.2
McAllen-Edinburg-MissionTX,English Well,3,68.9
McAllen-Edinburg-MissionTX,English Not Well,3,6.0
OaklandCA,English Only,1,5.2
OaklandCA,English Well,1,73.0
OaklandCA,English Not Well,1,21.8
OaklandCA,English Only,2,16.4
OaklandCA,English Well,2,76.0
OaklandCA,English Not Well,2,7.7
OaklandCA,English Only,3,84.4
OaklandCA,English Well,3,13.4
OaklandCA,English Not Well,3,2.2
WashingtonDC-MD-VA-WV,English Only,1,6.8
WashingtonDC-MD-VA-WV,English Well,1,75.3
WashingtonDC-MD-VA-WV,English Not Well,1,17.9
WashingtonDC-MD-VA-WV,English Only,2,15.4
WashingtonDC-MD-VA-WV,English Well,2,80.7
